"Id","Name","Code","ShortName","ShortNameLatin","Depots","IsCity","CityCode","IsSalePoint"
"224","ОСТ.ПУНКТ 307 КМ","2700217","ОП 307 КМ","OP 307 KM",NULL,False,"27",False
"225","ОСТ.ПУНКТ 93 КМ","2700218","ОП 93 КМ","OP 93 KM",NULL,False,"27",False
"226","ОСТ.ПУНКТ 336 КМ","2700219","ОП 336 КМ","OP 336 KM",NULL,False,"27",False
"227","ОСТ.ПУНКТ 168 КМ","2700220","ОП 168 КМ","OP 168 KM",NULL,False,"27",False
"228","ОСТ.ПУНКТ 224 КМ","2700221","ОП 224 КМ","OP 224 KM",NULL,False,"27",False
"229","ОСТ.ПУНКТ 275 КМ","2700222","ОП 275 КМ","OP 275 KM",NULL,False,"27",False
"230","ОСТ.ПУНКТ 30 КМ","2700223","ОП 30 КМ","OP 30 KM",NULL,False,"27",False
"231","ОСТ.ПУНКТ 63 КМ","2700224","ОП 63 КМ","OP 63 KM",NULL,False,"27",False
"232","ПУТЕВОЙ ПОСТ 147 КМ","2700225","ПП 147 КМ","PP 147 KM",NULL,False,"27",False
"233","ОСТ.ПУНКТ 267 КМ","2700226","ОП 267 КМ","OP 267 KM",NULL,False,"27",False
"234","ОСТ.ПУНКТ 76 КМ","2700227","ОП 76 КМ","OP 76 KM",NULL,False,"27",False
"235","ОСТ.ПУНКТ 275 КМ","2700228","ОП 275 КМ","OP 275 KM",NULL,False,"27",False
"236","ТОКЫРАУ","2700229","ТОКЫРАУ","TOKYRAU",NULL,False,"27",False
"237","САРЫСУ","2700230","САРЫСУ","SARYSU",NULL,False,"27",False
"238","ОСТ.ПУНКТ 90 КМ","2700231","ОП 90 КМ","OP 90 KM",NULL,False,"27",False
"239","ОСТ.ПУНКТ 115 КМ","2700233","ОП 115 КМ","OP 115 KM",NULL,False,"27",False
"240","ОСТ.ПУНКТ 13 КМ","2700236","ОП 13 КМ","OP 13 KM",NULL,False,"27",False
"241","БАЙГУЛ","2700237","БАЙГУЛ","BAIGUL",NULL,False,"27",False
"242","ОСТ.ПУНКТ 40 КМ","2700238","ОП 40 КМ","OP 40 KM",NULL,False,"27",False
"243","ДАЧИ","2700239","ДАЧИ","DACHI",NULL,False,"27",False
"244","МЕХТУПИК","2700240","МЕХТУПИК","MEKHTUPIK",NULL,False,"27",False
"245","ВЕСНА","2700241","ВЕСНА","VESNA",NULL,False,"27",False
"246","ОСТ.ПУНКТ 174 КМ","2700242","ОП 174 КМ","OP 174 KM",NULL,False,"27",False
"247","ОСТ.ПУНКТ 195 КМ","2700243","ОП 195 КМ","OP 195 KM",NULL,False,"27",False
"248","ОСТ.ПУНКТ 271 КМ","2700245","ОП 271 КМ","OP 271 KM",NULL,False,"27",False
"249","ОСТ.ПУНКТ 277 КМ","2700246","ОП 277 КМ","OP 277 KM",NULL,False,"27",False
"250","ОСТ.ПУНКТ 292 КМ","2700247","ОП 292 КМ","OP 292 KM",NULL,False,"27",False
"251","ОСТ.ПУНКТ 295 КМ","2700248","ОП 295 КМ","OP 295 KM",NULL,False,"27",False
"252","ОСТ.ПУНКТ 320 КМ","2700249","ОП 320 КМ","OP 320 KM",NULL,False,"27",False
"253","ОСТ.ПУНКТ 331 КМ КМ","2700250","ОП 331 КМ","OP 331 KM",NULL,False,"27",False
"254","ОСТ.ПУНКТ 16 КМ","2700251","ОП 16 КМ","OP 16 KM",NULL,False,"27",False
"255","ОСТ.ПУНКТ 19 КМ","2700252","ОП 19 КМ","OP 19 KM",NULL,False,"27",False
"256","ОСТ.ПУНКТ 22 КМ","2700253","ОП 22 КМ","OP 22 KM",NULL,False,"27",False
"257","ОСТ.ПУНКТ 26 КМ","2700254","ОП 26 КМ","OP 26 KM",NULL,False,"27",False
"258","ОСТ.ПУНКТ 28 КМ","2700255","ОП 28 КМ","OP 28 KM",NULL,False,"27",False
"259","ОСТ.ПУНКТ 36 КМ","2700256","ОП 36 КМ","OP 36 KM",NULL,False,"27",False
"260","ОСТ.ПУНКТ 37 КМ","2700257","ОП 37 КМ","OP 37 KM",NULL,False,"27",False
"261","ОСТ.ПУНКТ 42 КМ","2700258","ОП 42 КМ","OP 42 KM",NULL,False,"27",False
"262","ОСТ.ПУНКТ 44 КМ","2700259","ОП 44 КМ","OP 44 KM",NULL,False,"27",False
"263","ОСТ.ПУНКТ 51 КМ","2700260","ОП 51 КМ","OP 51 KM",NULL,False,"27",False
"264","ОСТ.ПУНКТ 56 КМ","2700261","ОП 56 КМ","OP 56 KM",NULL,False,"27",False
"265","ОСТ.ПУНКТ 159 КМ","2700264","ОП 159 КМ","OP 159 KM",NULL,False,"27",False
"266","РЗД N5","2700266","РЗД N5","RZD N5",NULL,False,"27",False
"267","РЗД N3","2700267","РЗД N3","RZD N3",NULL,False,"27",False
